id,red1,red2,red3,red4,red5,red6,blue,firstPrizeAddress,OpenTime,SaleMoney
2016119,09,32,30,21,19,31,04,"河北1注,内蒙古1注,浙江1注,安徽1注,共4注。",2016-10-11,302415052
2016120,06,21,28,25,02,05,09,"北京1注,内蒙古1注,辽宁1注,上海1注,湖北1注,云南1注,共6注。",2016-10-13,309329228
2016121,28,23,02,10,25,03,09,"吉林1注,江苏1注,山东1注,湖南1注,宁夏1注,共5注。",2016-10-16,340006950
2016122,15,28,23,29,22,24,08,"浙江1注,安徽1注,湖南1注,广东1注,重庆2注,共6注。",2016-10-18,305059324
2016123,09,20,12,27,14,07,16,"上海1注,广西1注,重庆1注,共3注。",2016-10-20,305299416
2016124,32,21,09,15,27,24,10,"山东1注,湖北1注,云南1注,西藏1注,陕西1注,共5注。",2016-10-23,370331346
2016125,01,08,06,30,20,27,03,"辽宁1注,浙江2注,江西1注,河南1注,湖北1注,重庆1注,甘肃3注,共10注。",2016-10-25,346147358
2016126,12,18,06,02,19,17,10,"浙江1注,山东1注,河南1注,宁夏1注,共4注。",2016-10-27,347402822
2016127,17,12,07,29,31,26,16,"河北1注,山东1注,海南1注,共3注。",2016-10-30,377635784
2016128,11,09,27,26,04,17,13,"河北1注,黑龙江5注,江苏1注,浙江1注,安徽1注,福建1注,江西1注,广西5注,四川1注,共17注。",2016-11-01,346505806
2016129,33,06,08,31,05,21,14,"湖北1注,广东1注,共2注。",2016-11-03,356293078
2016130,23,17,27,21,03,28,01,"北京1注,江苏1注,浙江2注,福建1注,广西1注,四川1注,新疆1注,共8注。",2016-11-06,389013348
2016131,19,18,25,27,10,04,02,"河北1注,江苏1注,安徽1注,新疆1注,共4注。",2016-11-08,341425796
2016132,28,05,08,19,27,13,07,"天津1注,河北1注,辽宁1注,黑龙江6注,上海4注,江苏1注,浙江1注,安徽2注,山东4注,河南3注,湖北2注,湖南1注,广东2注,深圳1注,重庆1注,四川2注,云南1注,陕西1注,宁夏1注,新疆1注,共37注。",2016-11-10,349399364
