year,province,specialized,score,pre_score
2022,北京市,综合,617,598.0022
2022,天津市,综合,642,637.00037
2022,河北省,历史类一批,611,603.99756
2022,河北省,物理类一批,590,592.9984
2022,山西省,文史一批,547,603.99194
2022,山西省,理工一批,533,579.0093
2022,山西省,物理学（中外合作办学）,527,553.0021
2022,内蒙古自治区,文史一批,519,549.0612
2022,内蒙古自治区,广播电视编导（文史）,545,571.00757
2022,内蒙古自治区,理工一批,549,546.9387
2022,内蒙古自治区,农学单列（理工）,529,528.0008
2022,辽宁省,历史类一批,578,600.0053
2022,辽宁省,物理类一批,576,571.0047
2022,吉林省,文史一批,541,571.0204
2022,吉林省,广播电视编导（文史）,544,555.99396
2022,吉林省,理工一批,546,538.9819
2022,吉林省,广播电视编导（理工）,549,547.0048
2022,吉林省,农学单列（理工）,536,525.9931
2022,吉林省,物理学（中外合作办学）,540,539.00836
2022,黑龙江省,文史一批,554,579.03094
2022,黑龙江省,广播电视编导（文史）,544,563.9818
2022,黑龙江省,理工一批,519,555.02484
2022,黑龙江省,广播电视编导（理工）,545,566.9976
2022,黑龙江省,农学单列（理工）,525,531.99756
2022,上海市,综合,548,542.00037
2022,江苏省,历史类一批,590,600.00073
2022,江苏省,物理类一批,601,589.0005
2022,浙江省,综合,632,633.98895
2022,安徽省,文史一批,593,634.96405
2022,安徽省,广播电视编导（文史）,578,619.0024
2022,安徽省,理工一批,611,623.0203
2022,安徽省,物理学（中外合作办学）,591,594.0197
2022,福建省,历史类一批,603,599.99976
2022,福建省,物理类一批,605,612.00006
2022,福建省,物理学（中外合作办学）,584,589.98553
2022,江西省,文史一批,588,622.943
2022,江西省,广播电视编导（文史）,581,613.99713
2022,江西省,理工一批,597,611.041
2022,江西省,物理学（中外合作办学）,575,595.0187
2022,山东省,综合,578,580.00055
2022,河南省,文史一批,598,630.93713
2022,河南省,广播电视编导（文史）,583,610.0119
2022,河南省,理工一批,530,626.03485
2022,河南省,农学单列（理工）,584,604.0097
2022,河南省,物理学（中外合作办学）,584,612.03455
2022,河南省,护理单列（理工）,577,591.99646
2022,河南省,软件单列（理工）,616,631.9965
2022,湖北省,历史类一批,593,617.0016
2022,湖北省,物理类一批,594,614.00146
2022,湖南省,历史类一批,593,605.0013
2022,湖南省,物理类一批,596,612.0019
2022,广东省,历史类一批,590,604.99805
2022,广东省,物理类一批,607,606.9984
2022,广西壮族自治区,文史一批,609,613.9491
2022,广西壮族自治区,理工一批,582,586.0441
2022,海南省,综合,683,665.00226
2022,重庆市,历史类一批,598,620.00354
2022,重庆市,物理类一批,569,614.0034
2022,四川省,文史一批,603,603.0259
2022,四川省,理工一批,595,625.95636
2022,四川省,农学单列（理工）,592,594.9955
2022,贵州省,文史一批,630,642.9725
2022,贵州省,理工一批,580,575.02856
2022,云南省,文史一批,646,643.9612
2022,云南省,理工一批,619,580.0358
2022,西藏自治区,西藏汉（文史）,559,598.9974
2022,西藏自治区,西藏民（文史）,419,433.0004
2022,西藏自治区,西藏汉（理工）,531,565.99976
2022,西藏自治区,西藏民（理工）,378,379.00073
2022,陕西省,文史一批,585,610.0056
2022,陕西省,理工一批,562,572.97125
2022,陕西省,物理学（中外合作办学）,553,519.02356
2022,甘肃省,文史一批,557,585.01794
2022,甘肃省,理工一批,512,557.98926
2022,青海省,文史一批,505,531.0318
2022,青海省,理工一批,474,504.95993
2022,宁夏回族自治区,文史一批,552,588.0001
2022,宁夏回族自治区,理工一批,513,486.0125
2022,新疆维吾尔自治区,文史一批,534,572.02014
2022,新疆维吾尔自治区,理工一批,516,544.99
2022,新疆维吾尔自治区,南疆计划（理工）,479,550.4301
